factor,reversal_60d,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
reversal_60d,1.0,-0.5371256191786921,0.25216648882357207,-0.04190002792643615,0.38540267681130674,0.10028489587175808
momentum_20,-0.5371256191786921,1.0,-0.46190304083291356,0.023733388490139656,-0.31867165313783274,-0.016258193472895067
reversal_5,0.25216648882357207,-0.46190304083291356,1.0,-0.01956939159694748,0.11855139950179443,0.002292015833219459
size_log_mcap,-0.04190002792643615,0.023733388490139656,-0.01956939159694748,1.0,-0.024384570444183847,-0.008588724138231528
ivol,0.38540267681130674,-0.31867165313783274,0.11855139950179443,-0.024384570444183847,1.0,0.057837263872492134
overnight_intraday,0.10028489587175808,-0.016258193472895067,0.002292015833219459,-0.008588724138231528,0.057837263872492134,1.0
