date,raw_value,state
2015-01-05,,0
2015-01-06,0.018509203767716743,0
2015-01-07,-0.004031205092606224,0
2015-01-08,0.022406781130826527,0
2015-01-09,0.0051315246477467505,0
2015-01-12,-0.002628336758520561,0
2015-01-13,0.017470879284092893,0
2015-01-14,0.00338346525661362,0
2015-01-15,-0.019193979491446495,0
2015-01-16,-0.0007885475825186727,0
2015-01-19,0.048676315878991766,1
2015-01-20,0.024138939866766608,1
2015-01-21,-0.02078142004776693,1
2015-01-22,0.012126185809353218,1
2015-01-23,-0.004423492061128246,1
2015-01-26,0.007844071626585403,1
2015-01-27,0.018990716481203946,1
2015-01-28,0.01435373339395146,1
2015-01-29,0.008370907498558254,1
2015-01-30,0.007056987738255709,1
2015-02-02,0.02485165404256623,1
2015-02-03,-0.0027513642358695627,1
2015-02-04,0.0080382357784728,1
2015-02-05,0.010591583341513057,1
2015-02-06,0.0001724419340358059,1
2015-02-09,-0.015110183210882727,1
2015-02-10,-0.01344626772911494,1
2015-02-11,0.0054411987436102545,1
2015-02-12,0.010428579710191512,1
2015-02-13,0.010564895773788621,1
2015-02-16,0.016346586293334683,1
2015-02-17,0.001764582326749065,1
2015-02-25,0.004077349838693008,1
2015-02-26,-0.016604496161284503,1
2015-02-27,0.010798337695314693,1
2015-03-02,0.013684344084178481,1
2015-03-03,0.022588982810899702,1
2015-03-04,0.013673450417054596,1
2015-03-05,0.024617120841878313,1
2015-03-06,-0.01222302543671149,1
2015-03-09,-0.0012552071299430732,1
2015-03-10,0.016354936926618532,1
2015-03-11,0.004009245598431001,1
2015-03-12,-0.02518138450307735,1
2015-03-13,0.006473319475258152,1
2015-03-16,0.008179474761735799,1
2015-03-17,-0.0047011434129534055,1
2015-03-18,-0.004011202408011415,1
2015-03-19,0.0071822010398764425,1
2015-03-20,0.0032805491583469803,1
2015-03-23,0.005765482160879441,1
2015-03-24,-8.33702132942496e-07,1
2015-03-25,0.02988927737566931,1
2015-03-26,-0.011896529838678269,1
2015-03-27,0.006688249425711996,1
2015-03-30,-0.02374842971315875,1
2015-03-31,0.013099260851055524,1
2015-04-01,0.012028821514542619,1
2015-04-02,0.025982008370992772,1
2015-04-03,0.018810836246632892,1
2015-04-07,0.007559153886632291,1
2015-04-08,-0.012847090461170628,1
2015-04-09,0.007287674604452747,1
2015-04-10,0.007085281831744231,1
2015-04-13,0.007369398610983645,1
2015-04-14,-0.006138021582361821,1
2015-04-15,-0.020551510436273998,1
2015-04-16,-0.016595920439982835,1
2015-04-17,-0.021330255847438723,1
2015-04-20,-0.011201683078237566,1
2015-04-21,0.019846001564176593,1
2015-04-22,-0.0014101570845974735,1
2015-04-23,0.008319675088487292,1
2015-04-24,0.00822708442577874,1
2015-04-27,-0.015733305906732324,1
2015-04-28,-0.017755891798809535,1
2015-04-29,0.023985495386878095,1
2015-04-30,0.007686740027879581,1
2015-05-04,0.005604706946854318,0
2015-05-05,0.020474297783476605,0
2015-05-06,0.005259437181419621,0
2015-05-07,0.00456870606753515,1
2015-05-08,0.024955201800337785,1
2015-05-11,0.01754778628261946,1
2015-05-12,0.009584315338991425,1
2015-05-13,0.021010271918683023,1
2015-05-14,0.016116014468805655,1
2015-05-15,0.016691529613426025,1
2015-05-18,0.04483051372304961,1
2015-05-19,-0.012063714260405468,1
2015-05-20,0.01835640426980511,1
2015-05-21,0.022285202072833132,1
2015-05-22,-0.009242274304240718,1
2015-05-25,-0.002464176707566011,1
2015-05-26,0.028912850564479,1
2015-05-27,0.03142556250799094,1
2015-05-28,0.009476839829226091,1
2015-05-29,0.016996755842810535,1
2015-06-01,0.0010585083808902912,1
2015-06-02,0.024503086898768067,1
2015-06-03,0.010390454481924076,1
2015-06-04,-0.006876530540961035,1
2015-06-05,0.008710494141795096,1
2015-06-08,-0.036597586036382745,1
2015-06-09,0.010358253852431939,1
2015-06-10,0.029584172851777477,1
2015-06-11,0.03169900772029329,1
2015-06-12,0.011406730794114441,1
2015-06-15,-0.0033948483933952597,1
2015-06-16,-0.005473280620252138,1
2015-06-17,0.004785082925926037,1
2015-06-18,0.0017154106682075038,1
2015-06-19,-0.00965575365902055,1
2015-06-23,-0.017073610039071256,1
2015-06-24,0.0017989183693754261,1
2015-06-25,-0.005617598957400383,1
2015-06-26,-0.00618618048573874,1
2015-06-29,-0.045476533605579496,0
2015-06-30,-0.013804508116826486,0
2015-07-01,-0.010501857255384044,0
2015-07-02,-0.024623544709827146,0
2015-07-03,0.0004198241590442353,0
2015-07-06,-0.0640913957374036,0
2015-07-07,-0.04224994672755922,0
2015-07-08,0.039978158596518036,0
2015-07-09,-0.02654167059930654,0
2015-07-10,-0.01206199341265303,0
2015-07-13,0.02856394344621572,0
2015-07-14,0.07290032317294011,0
2015-07-15,-0.01877954551565008,0
2015-07-16,0.003294120312451866,0
2015-07-17,0.028667979508802753,0
2015-07-20,0.023375713300035485,0
2015-07-21,0.018511483145133043,0
2015-07-22,0.01742387378266016,0
2015-07-23,0.025893791684860477,0
2015-07-24,0.004509016587629245,1
2015-07-27,0.008030533964072217,1
2015-07-28,-0.03993011912772494,1
2015-07-29,0.021298794971736562,1
2015-07-30,-0.0006301171751880857,1
2015-07-31,-0.013335366145883256,1
2015-08-03,-0.047905935593872656,1
2015-08-04,0.03292214329645423,1
2015-08-05,0.021050369111988772,1
2015-08-06,0.010090201297110147,1
2015-08-07,0.017165768849202873,1
2015-08-10,0.005744712540842134,1
2015-08-11,0.019491383955577937,1
2015-08-12,-0.0019769824283993095,1
2015-08-13,0.01727718374586347,1
2015-08-14,0.009546266170992919,1
2015-08-17,0.007522586679922052,1
2015-08-18,-0.01833250321286782,1
2015-08-19,0.005014292688516386,1
2015-08-20,-0.0017735569650720318,1
2015-08-21,-0.011189558676601652,1
2015-08-24,0.0011040689586165886,1
2015-08-25,-0.0034860122192378468,1
2015-08-26,-0.012916749541061083,1
2015-08-27,-0.017831803576305177,1
2015-08-28,0.018886959819926767,1
2015-08-31,-0.05707095619094864,1
2015-09-01,-0.07575448421766935,0
2015-09-02,-0.04015728171160762,0
2015-09-07,0.06385544320917429,0
2015-09-08,0.03540530990447644,0
2015-09-09,0.028694144493875435,0
2015-09-10,-0.003344262482425052,0
2015-09-11,0.016071188739872535,0
2015-09-14,-0.061364456092867475,0
2015-09-15,-0.015871276369611803,0
