factor,combo_equal_v1,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
combo_equal_v1,1.0,-0.21747110326986124,0.07710945799297202,-0.022096764534282033,0.707982938679212,0.7300273510559158
momentum_20,-0.21747110326986124,1.0,-0.4614274117793016,0.023275930099460367,-0.3191412014950977,-0.016677291756685666
reversal_5,0.07710945799297202,-0.4614274117793016,1.0,-0.01946343503249874,0.11868927706371812,0.0022184086577455462
size_log_mcap,-0.022096764534282033,0.023275930099460367,-0.01946343503249874,1.0,-0.028057927870872322,-0.009009107939134956
ivol,0.707982938679212,-0.3191412014950977,0.11868927706371812,-0.028057927870872322,1.0,0.058388058175146154
overnight_intraday,0.7300273510559158,-0.016677291756685666,0.0022184086577455462,-0.009009107939134956,0.058388058175146154,1.0
