factor,sue,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
sue,1.0,0.059196180679867004,-0.026575014356598873,0.04927498597390047,-0.10616879026460904,-0.003481269649499908
momentum_20,0.059196180679867004,1.0,-0.4621473283269704,0.023254115948898715,-0.317541217583977,-0.01619805113504147
reversal_5,-0.026575014356598873,-0.4621473283269704,1.0,-0.019773340415213343,0.117846160698739,0.0025395643398956488
size_log_mcap,0.04927498597390047,0.023254115948898715,-0.019773340415213343,1.0,-0.019006350859901554,-0.008413399577484788
ivol,-0.10616879026460904,-0.317541217583977,0.117846160698739,-0.019006350859901554,1.0,0.05733031291120784
overnight_intraday,-0.003481269649499908,-0.01619805113504147,0.0025395643398956488,-0.008413399577484788,0.05733031291120784,1.0
