factor,overnight_intraday_decomp,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
overnight_intraday_decomp,1.0,-0.5626384445201041,0.2707780399409839,-0.0067863360409915075,0.32770526703315855,0.22711962926394416
momentum_20,-0.5626384445201041,1.0,-0.4614274117793016,0.023275930099460367,-0.3191412014950977,-0.016677291756685666
reversal_5,0.2707780399409839,-0.4614274117793016,1.0,-0.01946343503249874,0.11868927706371812,0.0022184086577455462
size_log_mcap,-0.0067863360409915075,0.023275930099460367,-0.01946343503249874,1.0,-0.028057927870872322,-0.009009107939134956
ivol,0.32770526703315855,-0.3191412014950977,0.11868927706371812,-0.028057927870872322,1.0,0.058388058175146154
overnight_intraday,0.22711962926394416,-0.016677291756685666,0.0022184086577455462,-0.009009107939134956,0.058388058175146154,1.0
