factor,momentum_12_1,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
momentum_12_1,1.0,0.01907702132192823,-0.009128099754078384,0.07089921638082802,-0.33690064762162975,-0.018208132097118298
momentum_20,0.01907702132192823,1.0,-0.46206480975074393,0.03239298046381175,-0.30509816357191283,-0.017626324550583567
reversal_5,-0.009128099754078384,-0.46206480975074393,1.0,-0.025229124351157043,0.10500733287721523,0.0022731467057423536
size_log_mcap,0.07089921638082802,0.03239298046381175,-0.025229124351157043,1.0,-0.026684203815949013,-0.011273906744405156
ivol,-0.33690064762162975,-0.30509816357191283,0.10500733287721523,-0.026684203815949013,1.0,0.05499885705043311
overnight_intraday,-0.018208132097118298,-0.017626324550583567,0.0022731467057423536,-0.011273906744405156,0.05499885705043311,1.0
