factor,volume_expansion_speed,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
volume_expansion_speed,1.0,0.29161846477798803,-0.0854649207126927,0.00018877584733314242,-0.4272576449285934,-0.030514219837147992
momentum_20,0.29161846477798803,1.0,-0.4641707792749229,0.024294654677692148,-0.31370504696977997,-0.01779122075721541
reversal_5,-0.0854649207126927,-0.4641707792749229,1.0,-0.02022297299817718,0.11554269957854012,0.003067257932861246
size_log_mcap,0.00018877584733314242,0.024294654677692148,-0.02022297299817718,1.0,-0.021735470925466557,-0.00866011761884216
ivol,-0.4272576449285934,-0.31370504696977997,0.11554269957854012,-0.021735470925466557,1.0,0.05886737747833675
overnight_intraday,-0.030514219837147992,-0.01779122075721541,0.003067257932861246,-0.00866011761884216,0.05886737747833675,1.0
