factor,forecast_kind,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
forecast_kind,1.0,0.030368929197402812,-0.015697963051765042,0.03956041421474327,-0.05717747070643597,-0.006927009575032618
momentum_20,0.030368929197402812,1.0,-0.46234627780807136,0.026880270879867576,-0.32254269019546733,-0.016372816686856105
reversal_5,-0.015697963051765042,-0.46234627780807136,1.0,-0.01897739715948269,0.12505852712361948,0.0009778482440923482
size_log_mcap,0.03956041421474327,0.026880270879867576,-0.01897739715948269,1.0,-0.03366380447010601,-0.006157080592222278
ivol,-0.05717747070643597,-0.32254269019546733,0.12505852712361948,-0.03366380447010601,1.0,0.05738463284632031
overnight_intraday,-0.006927009575032618,-0.016372816686856105,0.0009778482440923482,-0.006157080592222278,0.05738463284632031,1.0
