factor,excess_return_ir,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
excess_return_ir,1.0,0.5123381631584374,-0.24741373552999016,0.04273711493876561,-0.41543605695430685,-0.09922792300191485
momentum_20,0.5123381631584374,1.0,-0.46190304083291356,0.023733388490139656,-0.31867165313783274,-0.016258193472895067
reversal_5,-0.24741373552999016,-0.46190304083291356,1.0,-0.01956939159694748,0.11855139950179443,0.002292015833219459
size_log_mcap,0.04273711493876561,0.023733388490139656,-0.01956939159694748,1.0,-0.024384570444183847,-0.008588724138231528
ivol,-0.41543605695430685,-0.31867165313783274,0.11855139950179443,-0.024384570444183847,1.0,0.057837263872492134
overnight_intraday,-0.09922792300191485,-0.016258193472895067,0.002292015833219459,-0.008588724138231528,0.057837263872492134,1.0
