factor,rejoicing_regret,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
rejoicing_regret,1.0,-0.9262249785866988,0.4505521988029979,-0.03041113809923707,0.34333544344754124,0.15746689119369148
momentum_20,-0.9262249785866988,1.0,-0.4614198215589802,0.02328168088210534,-0.3191878917751845,-0.016646727876510965
reversal_5,0.4505521988029979,-0.4614198215589802,1.0,-0.019458703560434085,0.11870857547713715,0.0022199388929231983
size_log_mcap,-0.03041113809923707,0.02328168088210534,-0.019458703560434085,1.0,-0.028052000015530605,-0.009053230170085327
ivol,0.34333544344754124,-0.3191878917751845,0.11870857547713715,-0.028052000015530605,1.0,0.058408337252931035
overnight_intraday,0.15746689119369148,-0.016646727876510965,0.0022199388929231983,-0.009053230170085327,0.058408337252931035,1.0
