factor,up_run_reversal,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
up_run_reversal,1.0,-0.22906879311145106,0.513651046070174,-0.06673483421861759,0.08227983713942255,0.1921390923207156
momentum_20,-0.22906879311145106,1.0,-0.45679650777628167,0.06470432472066025,-0.37609411883603755,-0.02813908516233331
reversal_5,0.513651046070174,-0.45679650777628167,1.0,-0.06708765994668339,0.1470096021098826,0.009258339627018249
size_log_mcap,-0.06673483421861759,0.06470432472066025,-0.06708765994668339,1.0,0.006574637660088233,-0.028270830460677875
ivol,0.08227983713942255,-0.37609411883603755,0.1470096021098826,0.006574637660088233,1.0,0.05405119501644362
overnight_intraday,0.1921390923207156,-0.02813908516233331,0.009258339627018249,-0.028270830460677875,0.05405119501644362,1.0
