factor,amihud_jump_share,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
amihud_jump_share,1.0,0.12773328649888652,-0.047214766549045606,-0.0039576465048580265,-0.30224544769308676,-0.0240007538952805
momentum_20,0.12773328649888652,1.0,-0.46252181790654484,0.022979877309497625,-0.31751645258155003,-0.016599359998023658
reversal_5,-0.047214766549045606,-0.46252181790654484,1.0,-0.019752089527462727,0.11728213148409604,0.002068155423144546
size_log_mcap,-0.0039576465048580265,0.022979877309497625,-0.019752089527462727,1.0,-0.027092925392021155,-0.009122943606138733
ivol,-0.30224544769308676,-0.31751645258155003,0.11728213148409604,-0.027092925392021155,1.0,0.0583600670813675
overnight_intraday,-0.0240007538952805,-0.016599359998023658,0.002068155423144546,-0.009122943606138733,0.0583600670813675,1.0
