date,ls_ret_gross,ls_ret_net,cum_gross,cum_net
2020-01-03,0.021974977261511614,0.021974977261511614,0.021974977261511652,0.021974977261511652
2020-01-06,0.028589803919648427,0.027689803919648426,0.05119304147220549,0.05027326399267018
2020-01-07,0.005646081354686383,0.004846081354686383,0.05712816290383782,0.05536297367463083
2020-01-08,0.015132697685319807,0.014382697685319806,0.07312536380769918,0.07054194027327321
2020-01-09,-0.01394535873314438,-0.01479535873314438,0.05816024564376465,0.05470288822805358
2020-01-10,0.008346559092297683,0.0074465590922976835,0.06699224266315063,0.06255679561006078
2020-01-13,0.014430939804821647,0.013580939804821647,0.08238994348923434,0.07698731549044524
2020-01-14,0.0034547721460583547,0.0025547721460583545,0.0861293541171746,0.07973877268571838
2020-01-15,-0.0017078333310900418,-0.002607833331090042,0.084274426204338,0.07692299392543833
2020-01-16,0.0032876623296789033,0.0024376623296789033,0.08783915439040424,0.07954816853969549
2020-01-17,0.012984565418236272,0.012184565418236272,0.10196427305510536,0.09270199382140443
2020-01-20,-0.0008300959105808359,-0.001830095910580836,0.10104953701843611,0.09070224437102836
2020-01-21,-0.004001420611766277,-0.004851420611766277,0.09664377470643482,0.0854107890213871
2020-01-22,-0.02187607305795341,-0.02287607305795341,0.07265351537240705,0.06058085251384315
2020-01-23,-0.08699776338551321,-0.08789776338551321,-0.020664941352600552,-0.03264183231162454
2020-02-03,0.03556059344195856,0.03456059344195856,0.014160794511416164,0.0007906400346113784
2020-02-04,0.061010755411702075,0.060060755411702076,0.07603551069348957,0.060898881884051015
2020-02-05,0.06269108429054722,0.06194108429054722,0.14349334359399712,0.12661210895057828
2020-02-06,0.024443482735041593,0.023693482735041592,0.17144430339577177,0.15330547350308765
2020-02-07,0.023743274865456743,0.022943274865456744,0.19925822748087096,0.1797660779855048
2020-02-10,-0.023269796576817253,-0.023969796576817252,0.17135173248431657,0.1514873250879627
2020-02-11,0.028984215944806747,0.028134215944806747,0.20530244404596565,0.1838835181496954
2020-02-12,-0.01181803372766157,-0.01276803372766157,0.19105813911019753,0.1687676534603375
2020-02-13,-0.00458592933619506,-0.00548592933619506,0.18559603064893815,0.16235587670302354
2020-02-14,0.04809340625573634,0.047243406255736344,0.24261538220612588,0.21726952759984708
2020-02-17,0.03687968755017093,0.03592968755017093,0.2884426492469241,0.2610056413908537
2020-02-18,-0.009795263645985786,-0.010645263645985786,0.27582201380481797,0.24758190387917267
2020-02-19,0.027423066902496122,0.02652306690249612,0.3108089662450648,0.2806716021821034
2020-02-20,0.036873272657678806,0.036073272657678804,0.35914278265954924,0.326869618072565
2020-02-21,0.04485371710430079,0.04405371710430079,0.42010538853731294,0.38532315686142526
2020-02-24,0.01819537150662273,0.017495371506622732,0.4459447336603062,0.4095599001474435
2020-02-25,-0.019970257296423953,-0.020870257296423955,0.4170688452927007,0.3801420223566445
2020-02-26,-0.027587128594656934,-0.028337128594656934,0.37797598483012895,0.34103276039023434
2020-02-27,-0.07868224413441985,-0.07958224413441985,0.2695537419803571,0.23431036386060367
2020-02-28,0.05165779312243727,0.05065779312243727,0.3351360865413946,0.2968378029219343
2020-03-02,0.03175072501254994,0.03090072501254994,0.37752762527950257,0.3369110312559045
2020-03-03,0.027791615858366037,0.026891615858366035,0.4158113438755575,0.3728627291452504
2020-03-04,0.02670801923138849,0.02585801923138849,0.45362486047580375,0.4083622399975446
2020-03-05,0.013392559163052325,0.012492559163052325,0.4730926174206096,0.4259562886037227
2020-03-06,-0.013365531103540057,-0.014215531103540057,0.45340395222407914,0.40568556263078803
2020-03-09,0.006048548907825685,0.0051485489078256855,0.4621949371119336,0.41292280349901733
2020-03-10,-0.019011074165597365,-0.019861074165597365,0.4343970407179376,0.3848606389084597
2020-03-11,-0.008295607833800822,-0.009245607833800821,0.4224978453901773,0.37205676053664516
2020-03-12,-0.03446913947209463,-0.03541913947209463,0.3734655687586692,0.32345969077156744
2020-03-13,-0.03452041586041393,-0.03542041586041393,0.3260529661551599,0.27658219814994367
2020-03-16,0.0017067708090585554,0.0007567708090585554,0.3283162346490591,0.2775482782928673
2020-03-17,-0.01449669210932899,-0.01549669210932899,0.30906004317152846,0.25775050596935944
2020-03-18,0.02025368480042893,0.01930368480042893,0.3355733326707604,0.2820297252941719
2020-03-19,0.027572216680634847,0.026672216680634846,0.3723980499920363,0.31622429991823275
2020-03-20,-0.05955523632053596,-0.06050523632053596,0.2906645597989179,0.23658583760084806
2020-03-23,-0.01044231831385099,-0.011392318313850989,0.27718702962909125,0.22249825811649915
