date,ls_ret_gross,ls_ret_net,cum_gross,cum_net
2020-01-03,-0.0014792231236809617,-0.0014792231236809617,-0.0014792231236809839,-0.0014792231236809839
2020-01-06,-0.001507272794731973,-0.001957272794731973,-0.002984266325641305,-0.003433600675235682
2020-01-07,-0.004053533165218453,-0.004603533165218453,-0.007025702668335021,-0.008021327145869561
2020-01-08,0.0050606440711569115,0.004460644071156912,-0.002000613177732369,-0.0035964633600885643
2020-01-09,-0.003023539378818818,-0.003573539378818818,-0.0050181036238264864,-0.007157150635465626
2020-01-10,0.02419890101675056,0.02379890101675056,0.019059364800039225,0.016471418061749565
2020-01-13,0.003812641128251998,0.003212641128251998,0.02294467244640619,0.01973697594510737
2020-01-14,-0.005305483552067286,-0.005755483552067286,0.017517456312067026,0.01386789655262044
2020-01-15,-0.005557003994094756,-0.005857003994094756,0.01186310774327981,0.007929668233027432
2020-01-16,-0.00518622691621416,-0.005686226916214159,0.006615356058377486,0.0021983514238699264
2020-01-17,0.013120569889669347,0.012620569889669347,0.019822723189555802,0.014846665761326205
2020-01-20,-0.021009116155280515,-0.021659116155280517,-0.001602850859728111,-0.007134016052197434
2020-01-21,0.01780347651224497,0.01715347651224497,0.016172089334883122,0.009897087283258221
2020-01-22,-0.02386782671396513,-0.02436782671396513,-0.008081730004929732,-0.014711909938598278
2020-01-23,-0.08630209673742274,-0.08695209673742274,-0.09368635649766133,-0.10038477525984779
2020-02-03,0.021335641858864468,0.020835641858864468,-0.07434957318809299,-0.08164071462638012
2020-02-04,0.009013508382503288,0.008413508382503288,-0.0660062153067561,-0.07391409108073954
2020-02-05,0.01460125445528243,0.014201254455282432,-0.05236873439679768,-0.060762509440725476
2020-02-06,0.018605736338650168,0.018105736338650168,-0.03473735692272306,-0.04375692307728385
2020-02-07,0.0061956262632533125,0.005595626263253313,-0.028756950340336318,-0.03840614420200095
2020-02-10,0.00421028460788887,0.0036102846078888704,-0.02466774067783517,-0.03493451670537284
2020-02-11,0.01643761348442586,0.01583761348442586,-0.008635605980205519,-0.01965018259379192
2020-02-12,-0.002004663066942003,-0.002554663066942003,-0.010622957566778335,-0.022154646065002837
2020-02-13,0.005457838485759298,0.004957838485759298,-0.005223097467659588,-0.017306646736142905
2020-02-14,0.020219824000153507,0.019619824000153507,0.014891116420962192,0.0019736239010146317
2020-02-17,-0.0008217042643919148,-0.0011217042643919149,0.014057176062705734,0.00084970581427668
2020-02-18,-0.002259777698262455,-0.0028597776982624548,0.011765632271476312,-0.0020125018537234807
2020-02-19,0.00900225494347951,0.00860225494347951,0.020873804436234877,0.006572441035735954
2020-02-20,0.004564216517115499,0.004064216517115499,0.025533293516333266,0.010663369376266552
2020-02-21,-0.005564442033276507,-0.006114442033276507,0.019826772951366367,0.004483726789059395
2020-02-24,-0.008858470007214497,-0.009358470007214497,0.010792668070622291,-0.004916704040830999
2020-02-25,-0.010207704501473435,-0.010757704501473436,0.000474795202701328,-0.015621516093111909
2020-02-26,-0.0027378263600329245,-0.0032878263600329247,-0.0022643310641532466,-0.01885798162075014
2020-02-27,-0.04207881047505198,-0.042478810475051976,-0.04424786118150403,-0.06053572746859226
2020-02-28,0.03130699645534092,0.030856996455340922,-0.014326132359328891,-0.031546681741171145
2020-03-02,0.011228849220373904,0.010578849220373904,-0.003258149119129139,-0.021301560110340123
2020-03-03,0.00021040444688613102,-0.000489595553113869,-0.003048430201306407,-0.02178072651434959
2020-03-04,0.020783620159952193,0.020133620159952192,0.01767183254325788,-0.0020856312288450862
2020-03-05,-0.015528890251640209,-0.01602889025164021,0.0018685183435080965,-0.018081091126412763
2020-03-06,-0.03200241444578026,-0.03265241444578026,-0.030193693200700644,-0.05014311429110152
2020-03-09,0.026663051185038884,0.026113051185038885,-0.004335698002937316,-0.025339452816123376
2020-03-10,-0.013473637691551011,-0.01412363769155101,-0.0177509180704567,-0.03910520525679728
2020-03-11,-0.012966149474207328,-0.013516149474207328,-0.030486906487658172,-0.05209280293153418
2020-03-12,-0.00586420956078002,-0.00626420956078002,-0.03617233443993473,-0.05803069225814261
2020-03-13,-0.040045438983174655,-0.04064543898317466,-0.07476923641141608,-0.09631744827998756
2020-03-16,0.000638728616722567,0.000188728616722567,-0.07417826504563996,-0.09614689752204508
2020-03-17,-0.018097763500356127,-0.018697763500356127,-0.09093356784833329,-0.11304692907124103
2020-03-18,-0.009984033941395043,-0.010484033941395044,-0.10000971796191838,-0.12234577517128276
2020-03-19,0.01562613192979176,0.015076131929791759,-0.08594635107926085,-0.10911414428902577
2020-03-20,-0.0329529263646005,-0.0336529263646005,-0.11606709366544032,-0.13909506039053132
2020-03-23,0.02067102532738325,0.020071025327383252,-0.09779529417089117,-0.12181581554316034
2020-03-24,0.024272626563079748,0.023672626563079748,-0.07589641626284804,-0.10102688929091086
2020-03-25,-0.005052640580974671,-0.0055526405809746705,-0.08056557953106247,-0.10601856386663921
2020-03-26,0.0038883464835365866,0.0031883464835365865,-0.07699049993538953,-0.10316824129839652
2020-03-27,-0.013643672565929233,-0.014243672565929233,-0.08958373932951313,-0.11594241921606852
2020-03-30,0.0020865308911778902,0.0014865308911778904,-0.08768412767779343,-0.11462824031265328
2020-03-31,-0.004644798325484883,-0.005444798325484884,-0.09192165091386895,-0.11944891098723054
2020-04-01,0.01647606863069075,0.01587606863069075,-0.07696008971228141,-0.10546922146523441
2020-04-02,-0.001282367366015441,-0.001732367366015441,-0.07814376597076411,-0.1070188773938644
2020-04-03,0.016655115302770383,0.016155115302770383,-0.0627901441004296,-0.09259266439496494
2020-04-07,-0.0060366491448195945,-0.006536649144819594,-0.06844775117556223,-0.0985240677792506
