factor,forecast_yoy,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
forecast_yoy,1.0,0.021521527352099737,-0.01027161231098478,0.027680856867837587,-0.056797570545161886,-0.004372243123620202
momentum_20,0.021521527352099737,1.0,-0.46208988177107313,0.027171752452349925,-0.3232090124813451,-0.016655533034494043
reversal_5,-0.01027161231098478,-0.46208988177107313,1.0,-0.018386190729747776,0.12470242699205862,0.0007284218579437325
size_log_mcap,0.027680856867837587,0.027171752452349925,-0.018386190729747776,1.0,-0.0302341608160653,-0.004970719364314252
ivol,-0.056797570545161886,-0.3232090124813451,0.12470242699205862,-0.0302341608160653,1.0,0.05764990487548193
overnight_intraday,-0.004372243123620202,-0.016655533034494043,0.0007284218579437325,-0.004970719364314252,0.05764990487548193,1.0
