factor,avg_turnover_120d,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
avg_turnover_120d,1.0,0.05766356607234057,-0.01292176804039314,0.19194252425652242,-0.3482535082623408,-0.02648074894301945
momentum_20,0.05766356607234057,1.0,-0.4639363337661716,0.024005704221693094,-0.3125896259334433,-0.017803909714242748
reversal_5,-0.01292176804039314,-0.4639363337661716,1.0,-0.020393389884106113,0.11498878313292124,0.0033995575751344037
size_log_mcap,0.19194252425652242,0.024005704221693094,-0.020393389884106113,1.0,-0.021631977483832825,-0.008626327009960574
ivol,-0.3482535082623408,-0.3125896259334433,0.11498878313292124,-0.021631977483832825,1.0,0.058975198959531766
overnight_intraday,-0.02648074894301945,-0.017803909714242748,0.0033995575751344037,-0.008626327009960574,0.058975198959531766,1.0
