factor,vol_expansion_speed,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
vol_expansion_speed,1.0,0.045152488072924754,-0.1861711846830676,0.007140964329690226,-0.06126842977404982,-0.042429671999620826
momentum_20,0.045152488072924754,1.0,-0.4614274117793016,0.023275930099460367,-0.3191412014950977,-0.016677291756685666
reversal_5,-0.1861711846830676,-0.4614274117793016,1.0,-0.01946343503249874,0.11868927706371812,0.0022184086577455462
size_log_mcap,0.007140964329690226,0.023275930099460367,-0.01946343503249874,1.0,-0.028057927870872322,-0.009009107939134956
ivol,-0.06126842977404982,-0.3191412014950977,0.11868927706371812,-0.028057927870872322,1.0,0.058388058175146154
overnight_intraday,-0.042429671999620826,-0.016677291756685666,0.0022184086577455462,-0.009009107939134956,0.058388058175146154,1.0
