factor,turnover_excess_group,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
turnover_excess_group,1.0,0.14438861561510277,-0.029133715081540897,0.1121885796738112,-0.3804794329931837,-0.033184379684359964
momentum_20,0.14438861561510277,1.0,-0.46131707253044124,0.023349426016704852,-0.3188823555233534,-0.016756894428953197
reversal_5,-0.029133715081540897,-0.46131707253044124,1.0,-0.019371938291727606,0.11851516242470302,0.0023581852138593244
size_log_mcap,0.1121885796738112,0.023349426016704852,-0.019371938291727606,1.0,-0.028082983992743848,-0.009065404450976342
ivol,-0.3804794329931837,-0.3188823555233534,0.11851516242470302,-0.028082983992743848,1.0,0.05824947178892744
overnight_intraday,-0.033184379684359964,-0.016756894428953197,0.0023581852138593244,-0.009065404450976342,0.05824947178892744,1.0
