,sz50,hs300,zz500,hs800,zz1000,hs1800,ALL
overnight_intraday,0.0102243045403689,0.0257915908631563,0.0256222215930115,0.0259920653893081,0.0309038813441901,0.0282848735524288,
ivol,0.0113354009927003,0.0181122208383405,0.0334070101538063,0.0271170592747956,0.0510023908001704,0.0388093878631144,
