fcode,f0001a,f0002a,f0003a,f0004a,f0005a,f0006a,f0007a,f0008a,f0009a,f0010a,f0011a,f0012a,f0013a,f0014a,f0015a,f0016a,f0017a,f0018a,f0019a,f0020a,f0021a,f0022a,f0023a,f0024a,f0025a,f0026a,f0027a,f0028a,f0029a,f0030a,f0031a,f0032a,f0033a,f0034a,f0035a,f0036a,f0037a,f0038a,f0039a,f0040a,f0041a,f0042a,f0043a,f0044a,f0045a,f0046a,f0047a,f0048a,f0049a,f0050a,f0051a,f0052a,f0053a,f0054a,f0055a,f0056a,f0057a,f0058a,f0059a,f0060a,f0061a,f0062a,f0063a,f0064a,f0065a,f0066a,f0067a,f0068a,f0069a,f0070a,f0071a,f0072a,f0073a,f0074a,f0075a,f0076a
f0001a,1.0,0.06223498775390884,0.8224126752895555,-0.05215428195328642,-0.032838134222932525,-0.01808353662580172,0.00739755894910364,0.40936671449313394,-0.11541849810952373,-0.011067993781469793,-0.023156209361212123,-0.03887215297713076,-0.021510451035682977,-0.0034117154163649794,0.00598751492982842,-0.03356724873382766,-0.04556513428844234,-0.011269769847552494,-0.00917250278461101,-0.00875085197264702,-0.005167409044426063,-0.009434903661161684,-0.02618960105913276,-0.024079603408232533,-0.27198381247964015,-0.032838134222932525,-0.026100593606179282,0.1410160973367312,0.1700098146840196,-0.030023104986271906,0.017242984658888343,-0.046119893366113295,0.014438964137881271,-0.20861162274073794,-0.015143085202022582,-0.13476591123629744,-0.009037948704238094,-0.007301545434233442,-0.007848926119711056,-0.006279894019572355,0.0922682207629858,-0.00969661869829286,0.0007177311920784471,0.01931579664670173,0.2284938756342004,-0.041751342926871694,-0.3043157371186551,0.07261319538175057,0.10234434163327413,0.3049773453943822,-0.0022796890213352917,-0.011681418285557004,0.1624306977463239,-0.10003893286150448,0.004242675851930602,-0.002461905799171236,0.025156819845279753,-0.024948713293432442,-0.033309974648382694,0.001846568943833552,-0.0015552191422188305,0.0022908417975546613,-0.0006858094841932259,-0.0010685113331992924,-0.0004484568813644915,-0.002308762400216033,-0.005951371574413142,0.005793283831660121,0.0017806211660236194,0.008524823200561568,0.0034253983666092474,-0.0017306807883425764,-0.0031234492306692362,-0.005727946804635045,0.005830805816250658,-0.007221442774805523
f0002a,0.06223498775390884,1.0,0.7203757002885347,-0.2866395631962739,-0.438261771705929,-0.34847911114640157,0.14489557724102736,0.07908535153298919,-0.1498567025828385,-0.056891280247981124,-0.30444586970952614,-0.47707705035927755,-0.26684684472464,-0.030893817635966214,0.04077609464691242,-0.29529165062864066,-0.48688217014563784,-0.2372634676648796,-0.23374131971927395,-0.23232314457759617,-0.19395459721290656,-0.23737512242740538,-0.3881575978133726,-0.36672807081028125,-0.19084633004293883,-0.438261771705929,-0.19405616451613694,0.0574519778241778,0.060865716143346855,-0.2734828724575524,0.09559007969905985,-0.16393148698175009,0.1012253803772198,-0.4004187786541536,-0.30632928713143415,0.006259054113742893,-0.2184347048950283,-0.04156044215876633,-0.10310342328180866,-0.07601090130098904,-0.06468220820511619,-0.06829120307348316,0.01176521439647129,0.05354872228150724,0.3416628233891204,-0.555446614419871,-0.14156538859254683,0.29527121202759055,0.3987151036746209,0.12894592512912495,-0.19991941194930557,-0.2925180186368378,0.37267404591237757,-0.42177648486444086,0.16768651424099537,-0.09119132438952557,0.16839289996055645,-0.35924803625470414,-0.40308352371623135,-0.02272682848912294,-0.023138720774586414,-0.0760668520649533,0.004057274682081886,0.0032752432671718117,0.013014560627705278,0.03853869130689155,0.000327212390051018,0.0001581454224107234,-0.03576150299813219,0.15216517642645738,-0.12123394758248816,-0.07601582260530498,-0.0637372776301473,-0.05492485176122925,0.12297610417649119,-0.09682088980187072
f0003a,0.8224126752895555,0.7203757002885347,1.0,-0.16210554953142778,-0.220176799479148,-0.16333172794004472,0.06713010170737531,0.3662433731336297,-0.13696564149799512,-0.03162970488008136,-0.14932364363041334,-0.23517436047411308,-0.13762657190914726,-0.014996162828757459,0.023952315609675923,-0.15777672778130092,-0.24407915496513627,-0.10975493358360643,-0.10666162323447131,-0.10574762899755483,-0.0871016696026528,-0.10851895952440675,-0.18657736656976784,-0.17597784512762066,-0.3006978813763844,-0.220176799479148,-0.10694897239737239,0.13149256096624592,0.15397749838272715,-0.14774680078466698,0.054694600163949066,-0.10688169486995729,0.054710631316023654,-0.32756562890368696,-0.1546564531538894,-0.11462802099960401,-0.106066735505937,-0.02160290364194336,-0.051895164404542234,-0.03915632660760621,0.04990580824551916,-0.033057871130183915,0.005002316573075985,0.03945680953368388,0.3304165269082768,-0.28207516524140347,-0.3004131859011572,0.19218015973798036,0.2512916808503062,0.2957120570152779,-0.09315084000286543,-0.14563481750247162,0.28810230708840956,-0.26241860142539764,0.07629824814132008,-0.04255842311000468,0.09088539165350178,-0.17757232624213026,-0.1979213669375343,-0.009813359932335938,-0.012453031136958682,-0.030908506918635566,0.0010947384082602826,-0.0008114826432620477,0.004950001119514648,0.014139253374693654,-0.00651612197517502,0.006659430705016957,-0.014034367990685555,0.07169267135904027,-0.049180254332316285,-0.034481216078024554,-0.030320822063331074,-0.028484004134082204,0.05716613228307268,-0.04871987681149635
f0004a,-0.05215428195328642,-0.2866395631962739,-0.16210554953142778,1.0,0.026247248530374027,0.21988791851913822,-0.11440214660718145,-0.010614019563807304,0.0422216937950598,0.012761731634810767,0.20909729568522656,0.2138045849478616,0.2047058408787197,0.03449723664439096,0.015690992532666728,0.013181336667495618,0.21219757967713654,0.17490437318977647,0.1717645070758281,0.1705630014514196,0.12310311848288939,0.17520656384921388,0.2050827372896236,0.2803096936890608,0.16292793257958318,0.026247248530374027,0.02173224031357574,0.006839163385346979,-0.059464058692102834,-0.04592405797266778,-0.06612414235717205,0.014499178387225862,-0.05510447838956428,0.08812237075796259,0.5225044808658253,0.02023726858464348,0.13895033573372464,0.03499820112021912,0.07932746959038084,0.06995111703012599,-0.01372289566766012,0.023618209048307286,-0.012780272256710695,-0.034125606919214374,-0.18179690511232172,0.07063655952551627,0.11988331269136628,0.005816781777353953,-0.35503579634888405,-0.11703538617295056,0.26588257092024015,0.2693960130324188,-0.22565521605514888,0.36207340045715675,-0.1620020534707343,0.11880086447998145,-0.06907442168592781,0.044425101710041354,0.15776126489261869,-0.008523984962665874,-0.010993338695993508,0.013001168888364497,0.005048510200096295,0.012851825482265943,0.003796589764731696,-0.040313082288089615,-0.023613363023167612,0.005115552605272723,0.03148695427609023,-0.08241358793756583,0.121734811879392,0.13274802731108995,0.06272802086140346,0.05707721520445622,-0.08720293828440247,0.1784941032889417
f0005a,-0.032838134222932525,-0.438261771705929,-0.220176799479148,0.026247248530374027,1.0,0.3370660694644568,-0.08892622820499121,-0.04632423604884945,0.06333059373902158,-0.008596279892727338,-0.0465411315649444,0.30029830828746795,-0.059782228285956925,-0.010026944757116027,-0.02058038979803758,0.3821205999416686,0.2847581450191392,0.006722539448536528,0.004012298843504685,0.0028187916461293798,-0.015938575606057492,0.006861124852661848,0.24358428654382333,0.2384248766208362,0.14540404626101697,1.0,0.15790879658312082,-0.011224383396823119,-0.051782985810378955,0.34711743938856526,-0.1064028053944416,-0.04600973515960144,-0.40797730781428404,0.12094154720972577,-0.044231599038174925,0.01578875536067676,0.09364541132405675,0.07547329245626017,0.00034168419616226306,-0.016287793291574194,-0.03179577534737297,0.04682362818285525,-0.018841158766386677,-0.034783462460169466,-0.24813453098589583,0.6952041887083327,0.07568187573396196,-0.1805553908380391,-0.3201065839760741,-0.0709044144029093,-0.03813997936112033,-0.03523455706843959,-0.3239523570310272,0.32810181550274264,-0.2575406402699634,0.0591032396477782,-0.08261647060300023,0.22641277017786396,0.2808839964123447,-0.006293853578860711,-0.005062428487240176,0.004195679085855189,-0.0060078512905727185,-0.0034762392582781,-0.008659454187039662,0.0018852684956773627,0.008827733225184526,-0.009141754457193924,-0.0019546933292163143,-0.033350926360116905,0.018145398081221117,-0.003336731474044696,-0.002814138399753733,0.001599857307901878,-0.03755767316492025,0.027890022317585993
f0006a,-0.01808353662580172,-0.34847911114640157,-0.16333172794004472,0.21988791851913822,0.3370660694644568,1.0,-0.46218225120648604,-0.056349162061066854,0.0583639169883219,0.012803243286928542,0.052621770812764715,0.1903006985664394,0.040719757593447974,-0.001898429047927529,-0.0005136589664038266,0.22114147101458578,0.19476779447621287,0.05007773442545301,0.03970865774038744,0.035722908863697875,-0.019134163956315575,0.05056564988362733,0.12027398295356385,0.10762153148951642,0.5433612660075888,0.3370660694644568,0.25685230310182866,0.013080012833363871,-0.21513280481182434,0.16243348882739003,0.004898089241726166,0.058895778344418996,-0.23016551916464056,0.015447147463412804,-0.001042132380767821,0.028386456124767475,0.021225317450146258,0.04297155965773747,0.003972402614771756,-0.011941757031207671,-0.028417869342780823,0.0865621839091372,-0.012160859168429225,-0.035054214633359386,-0.5742903768092534,0.38912882341419736,0.36789048334378727,-0.10365108810175439,-0.5328085491088073,-0.3637375968901538,0.01613032913421981,-0.015647439881907355,-0.9273252680781071,0.5090117474476511,-0.633396479003574,0.08620857581407372,-0.0495989343998031,0.13322586187626326,0.1562054500257871,0.0018356974719993344,0.0075208843419929125,-0.0011063166932082748,0.0015801874900518817,0.009326453591808993,-0.0005433616015769627,-0.014394054530374933,0.005731893891308101,-0.01582628476213895,-0.00887210255611538,-0.04905057650986827,0.027869433154289643,0.03856677193883142,0.019291952521887906,0.024484619192148244,-0.04936970401925151,0.07262697704020701
f0007a,0.00739755894910364,0.14489557724102736,0.06713010170737531,-0.11440214660718145,-0.08892622820499121,-0.46218225120648604,1.0,0.04956408000719864,-0.056549417194553406,-0.013555150441434348,-0.011264421624228985,-0.07565485490989082,-0.009370174475070289,0.003456864046014708,0.0012962601791208022,-0.12703219375314767,-0.12468978241489627,-0.016881908331878994,-0.006041048221985527,-0.0032482764441071075,0.015074648555365503,-0.016409192789352472,-0.01544506775898283,-0.010166895137424161,-0.5766876397364896,-0.08892622820499121,-0.11767187021874474,-0.010017921629314168,0.5215390185597126,-0.10648541558348906,-0.03435639296587631,-0.2108527726780605,0.028218320683704893,-0.18263366028182668,-0.0009529046790670824,-0.02016136583057273,0.006911855332567089,-0.003453205353179557,0.00839071752301315,0.012580653599812256,0.06766326928735146,-0.08254830302488683,-0.0005529903535409223,0.011952908088335127,0.26919764364286786,-0.12021968526498972,-0.7786405664340342,0.006888879645149394,0.25265016555696085,0.77719526914838,0.0009103273407031315,0.013068261478096877,0.4502941301675439,-0.247210849738657,0.16099755342499694,-0.010175666671731589,0.027216410200444883,-0.08192447310043798,-0.024549142202141556,-0.003710418833070698,-0.005608989642564487,0.003239856882505035,-0.0018650344076556254,-0.007484100809547083,-0.0011180830483972252,0.003968800270790593,-0.0020429147515794144,0.002358432340331651,0.007129170989562582,0.013995098362455544,-0.01747815470702664,-0.02308676938940642,-0.010808308694756207,-0.012404075265591157,0.01390259417417834,-0.034549988112254564
f0008a,0.40936671449313394,0.07908535153298919,0.3662433731336297,-0.010614019563807304,-0.04632423604884945,-0.056349162061066854,0.04956408000719864,1.0,0.09811914379268889,0.003694254265709394,-0.051699369054657295,-0.0646536707895096,-0.04632938660116587,-0.011518534276713325,0.007084919132698051,-0.021207577760582123,-0.06234608295888479,-0.022279887951838318,-0.022810715360748014,-0.022810727328401257,-0.019941356948111055,-0.022962298687318434,-0.051323162245558954,-0.05125272105447511,0.08728077012167437,-0.04632423604884944,0.003636680779717712,0.09258408859008538,-0.052017073668779876,-0.01720663596107796,0.04530123533896451,0.0001789008610937251,0.023737412940951254,0.06077076541252748,-0.021068461440402458,-0.11907496988407014,-0.029014563170936297,-0.005815548701883588,-0.017246484800849903,-0.014383895090974048,-0.02505551934780213,-0.014918927176046667,0.00026015563414513704,0.01870340841000051,0.16505952739540605,-0.037112437044658955,0.08071889981616896,0.11607114904679858,0.01045898784975341,-0.0827124196618983,-0.015486644554952819,-0.030669207336658254,-0.0036353210483420295,-0.009244925097757624,0.060545607994123465,-0.009423945551281596,-0.005061881088392525,-0.02362632405400432,-0.06883519420091845,0.004184859017089851,0.00015094460653078165,-0.0035063676815336076,0.001896854447886021,0.004693755592640138,0.0021812270765525594,-0.0005817321945749839,-0.004103940183295833,0.0023048036306368095,-0.0024975941541809524,0.01593771154863968,0.008116658725627562,0.005152378997576751,-0.0010938688110823937,-0.0033590678425865304,0.012334141812869098,0.008097905689672717
f0009a,-0.11541849810952373,-0.1498567025828385,-0.13696564149799512,0.0422216937950598,0.06333059373902158,0.0583639169883219,-0.056549417194553406,0.09811914379268889,1.0,0.00863595905381725,0.029974424417270218,0.0495620530523206,0.024325064947138278,0.002381300734631515,0.0008495996452207088,0.04611290451869681,0.05653934697742721,0.01307526477576232,0.010799378966253473,0.010226353267633884,0.003825523688068944,0.011647651229882533,0.03750081925920404,0.035345568168854424,0.1072387716382919,0.0633305937390216,0.08078481361413865,-0.06328236373003429,-0.10879332119838922,0.0664559610542269,0.004397106739033948,0.11159056205370868,0.0029532454441420198,0.07245858449538674,0.025120625252416304,-0.1319665876634684,0.013320707789919208,0.00843468361262865,0.006587622987656755,0.0016916243630667736,0.006594724848133429,0.04057864260009435,-0.00039378411280750574,-0.001356292075997287,-0.06623210590683445,0.11269515327647635,0.17930136839821714,-0.02518051306995435,-0.10118702277414596,-0.17644852045293535,0.016594812018232208,0.020490100787899344,-0.12933520461663553,0.09419907003118012,0.02774619815344247,-0.0028210672891274755,-0.09268549149212651,0.07145112921430473,0.0558135054520548,-0.0005204051161439257,-0.00026832495137476707,2.9612406010336466e-05,-0.0016730351082143565,-0.003919973787678438,-0.0031036277380084893,-0.0025379273919019616,-0.003348370780115077,0.002038129300978453,0.002435597650172698,-0.013641183403910979,0.004861714353444832,0.002847820875965499,0.003216972681234788,0.0029987343258112307,-0.014104991950636312,0.0016751494269742193
f0010a,-0.011067993781469793,-0.056891280247981124,-0.03162970488008136,0.012761731634810767,-0.008596279892727338,0.012803243286928542,-0.013555150441434348,0.003694254265709394,0.00863595905381725,1.0,0.16234060373285908,0.15885814743148474,0.16372486267330702,0.06824807846200533,-0.05926131893661597,-0.0218398698266712,0.1573599174527773,0.0745012681325612,0.07431854766690943,0.07428765740492577,0.07368012313861078,0.07396764660712846,0.17042381986441693,0.1521011237590989,0.02422200315923772,-0.00859627989272734,0.014090862820406634,-0.009450059138857662,-0.04815410005517877,0.00016115341671550987,-0.01438177115628417,0.003627519479712308,0.0053646462828544055,0.009343290574447403,0.013852377298023473,0.005205460784798309,0.04448841295388258,-0.005741916949472255,0.03279839777723465,0.03036916324783642,0.0066208134124619115,-0.0017584326080688144,0.0027208509128524073,-0.00792929829702782,-0.01099337563329664,-0.00032766881075006944,0.022078576533358756,0.004095926214585859,-0.0195641878743206,-0.02125637710553324,0.04327279579014098,-0.001253160981012597,-0.02502975493447773,0.025500123808646965,-0.009948564921421023,0.003636884174614698,-0.004277352139964656,0.03715301007931042,0.1070523729825556,-0.038264274999669286,-0.06131726423052257,0.03268964951521258,-0.006179722731810605,-0.03237021486824849,-0.018502323540034088,0.03768265875439013,0.032578463964929874,-0.04904076413161599,0.013432491217973947,0.1547912399086076,0.05086016640091301,0.010225219678411343,-0.010195768791075002,-0.013861121551206411,0.11598234998444203,0.007259190584879488
