fcode,f0001a,f0002a,f0003a,f0004a,f0005a,f0006a,f0007a,f0008a,f0009a,f0010a,f0011a,f0012a,f0013a,f0014a,f0015a,f0016a,f0017a,f0018a,f0019a,f0020a,f0021a,f0022a,f0023a,f0024a,f0025a,f0026a,f0027a,f0028a,f0029a,f0030a,f0031a,f0032a,f0033a,f0034a,f0035a,f0036a,f0037a,f0038a,f0039a,f0040a,f0041a,f0042a,f0043a,f0044a,f0045a,f0046a,f0047a,f0048a,f0049a,f0050a,f0051a,f0052a,f0053a,f0054a,f0055a,f0056a,f0057a,f0058a,f0059a
f0001a,1.0,0.06223498775390884,0.8224126752895555,-0.05215428195328642,-0.032838134222932525,-0.01808353662580172,0.00739755894910364,0.40936671449313394,-0.11541849810952373,-0.011067993781469793,-0.023156209361212123,-0.03887215297713076,-0.021510451035682977,-0.0034117154163649794,0.00598751492982842,-0.03356724873382766,-0.04556513428844234,-0.011269769847552494,-0.00917250278461101,-0.00875085197264702,-0.005167409044426063,-0.009434903661161684,-0.02618960105913276,-0.024079603408232533,-0.27198381247964015,-0.032838134222932525,-0.026100593606179282,0.1410160973367312,0.1700098146840196,-0.030023104986271906,0.017242984658888343,-0.046119893366113295,0.014438964137881271,-0.20861162274073794,-0.015143085202022582,-0.13476591123629744,-0.009037948704238094,,,,,,,0.01931579664670173,,,,0.07261319538175057,,,,,,,,,,,
f0002a,0.06223498775390884,1.0,0.7203757002885347,-0.2866395631962739,-0.438261771705929,-0.34847911114640157,0.14489557724102736,0.07908535153298919,-0.1498567025828385,-0.056891280247981124,-0.30444586970952614,-0.47707705035927755,-0.26684684472464,-0.030893817635966214,0.04077609464691242,-0.29529165062864066,-0.48688217014563784,-0.2372634676648796,-0.23374131971927395,-0.23232314457759617,-0.19395459721290656,-0.23737512242740538,-0.3881575978133726,-0.36672807081028125,-0.19084633004293883,-0.438261771705929,-0.19405616451613694,0.0574519778241778,0.060865716143346855,-0.2734828724575524,0.09559007969905985,-0.16393148698175009,0.1012253803772198,-0.4004187786541536,-0.30632928713143415,0.006259054113742893,-0.2184347048950283,,,,,,,0.05354872228150724,,,,0.29527121202759055,,,,,,,,,,,
f0003a,0.8224126752895555,0.7203757002885347,1.0,-0.16210554953142778,-0.220176799479148,-0.16333172794004472,0.06713010170737531,0.3662433731336297,-0.13696564149799512,-0.03162970488008136,-0.14932364363041334,-0.23517436047411308,-0.13762657190914726,-0.014996162828757459,0.023952315609675923,-0.15777672778130092,-0.24407915496513627,-0.10975493358360643,-0.10666162323447131,-0.10574762899755483,-0.0871016696026528,-0.10851895952440675,-0.18657736656976784,-0.17597784512762066,-0.3006978813763844,-0.220176799479148,-0.10694897239737239,0.13149256096624592,0.15397749838272715,-0.14774680078466698,0.054694600163949066,-0.10688169486995729,0.054710631316023654,-0.32756562890368696,-0.1546564531538894,-0.11462802099960401,-0.106066735505937,,,,,,,0.03945680953368388,,,,0.19218015973798036,,,,,,,,,,,
f0004a,-0.05215428195328642,-0.2866395631962739,-0.16210554953142778,1.0,0.026247248530374027,0.21988791851913822,-0.11440214660718145,-0.010614019563807304,0.0422216937950598,0.012761731634810767,0.20909729568522656,0.2138045849478616,0.2047058408787197,0.03449723664439096,0.015690992532666728,0.013181336667495618,0.21219757967713654,0.17490437318977647,0.1717645070758281,0.1705630014514196,0.12310311848288939,0.17520656384921388,0.2050827372896236,0.2803096936890608,0.16292793257958318,0.026247248530374027,0.02173224031357574,0.006839163385346979,-0.059464058692102834,-0.04592405797266778,-0.06612414235717205,0.014499178387225862,-0.05510447838956428,0.08812237075796259,0.5225044808658253,0.02023726858464348,0.13895033573372464,,,,,,,-0.034125606919214374,,,,0.005816781777353953,,,,,,,,,,,
f0005a,-0.032838134222932525,-0.438261771705929,-0.220176799479148,0.026247248530374027,1.0,0.3370660694644568,-0.08892622820499121,-0.04632423604884945,0.06333059373902158,-0.008596279892727338,-0.0465411315649444,0.30029830828746795,-0.059782228285956925,-0.010026944757116027,-0.02058038979803758,0.3821205999416686,0.2847581450191392,0.006722539448536528,0.004012298843504685,0.0028187916461293798,-0.015938575606057492,0.006861124852661848,0.24358428654382333,0.2384248766208362,0.14540404626101697,1.0,0.15790879658312082,-0.011224383396823119,-0.051782985810378955,0.34711743938856526,-0.1064028053944416,-0.04600973515960144,-0.40797730781428404,0.12094154720972577,-0.044231599038174925,0.01578875536067676,0.09364541132405675,,,,,,,-0.034783462460169466,,,,-0.1805553908380391,,,,,,,,,,,
f0006a,-0.01808353662580172,-0.34847911114640157,-0.16333172794004472,0.21988791851913822,0.3370660694644568,1.0,-0.46218225120648604,-0.056349162061066854,0.0583639169883219,0.012803243286928542,0.052621770812764715,0.1903006985664394,0.040719757593447974,-0.001898429047927529,-0.0005136589664038266,0.22114147101458578,0.19476779447621287,0.05007773442545301,0.03970865774038744,0.035722908863697875,-0.019134163956315575,0.05056564988362733,0.12027398295356385,0.10762153148951642,0.5433612660075888,0.3370660694644568,0.25685230310182866,0.013080012833363871,-0.21513280481182434,0.16243348882739003,0.004898089241726166,0.058895778344418996,-0.23016551916464056,0.015447147463412804,-0.001042132380767821,0.028386456124767475,0.021225317450146258,,,,,,,-0.035054214633359386,,,,-0.10365108810175439,,,,,,,,,,,
f0007a,0.00739755894910364,0.14489557724102736,0.06713010170737531,-0.11440214660718145,-0.08892622820499121,-0.46218225120648604,1.0,0.04956408000719864,-0.056549417194553406,-0.013555150441434348,-0.011264421624228985,-0.07565485490989082,-0.009370174475070289,0.003456864046014708,0.0012962601791208022,-0.12703219375314767,-0.12468978241489627,-0.016881908331878994,-0.006041048221985527,-0.0032482764441071075,0.015074648555365503,-0.016409192789352472,-0.01544506775898283,-0.010166895137424161,-0.5766876397364896,-0.08892622820499121,-0.11767187021874474,-0.010017921629314168,0.5215390185597126,-0.10648541558348906,-0.03435639296587631,-0.2108527726780605,0.028218320683704893,-0.18263366028182668,-0.0009529046790670824,-0.02016136583057273,0.006911855332567089,,,,,,,0.011952908088335127,,,,0.006888879645149394,,,,,,,,,,,
f0008a,0.40936671449313394,0.07908535153298919,0.3662433731336297,-0.010614019563807304,-0.04632423604884945,-0.056349162061066854,0.04956408000719864,1.0,0.09811914379268889,0.003694254265709394,-0.051699369054657295,-0.0646536707895096,-0.04632938660116587,-0.011518534276713325,0.007084919132698051,-0.021207577760582123,-0.06234608295888479,-0.022279887951838318,-0.022810715360748014,-0.022810727328401257,-0.019941356948111055,-0.022962298687318434,-0.051323162245558954,-0.05125272105447511,0.08728077012167437,-0.04632423604884944,0.003636680779717712,0.09258408859008538,-0.052017073668779876,-0.01720663596107796,0.04530123533896451,0.0001789008610937251,0.023737412940951254,0.06077076541252748,-0.021068461440402458,-0.11907496988407014,-0.029014563170936297,,,,,,,0.01870340841000051,,,,0.11607114904679858,,,,,,,,,,,
f0009a,-0.11541849810952373,-0.1498567025828385,-0.13696564149799512,0.0422216937950598,0.06333059373902158,0.0583639169883219,-0.056549417194553406,0.09811914379268889,1.0,0.00863595905381725,0.029974424417270218,0.0495620530523206,0.024325064947138278,0.002381300734631515,0.0008495996452207088,0.04611290451869681,0.05653934697742721,0.01307526477576232,0.010799378966253473,0.010226353267633884,0.003825523688068944,0.011647651229882533,0.03750081925920404,0.035345568168854424,0.1072387716382919,0.0633305937390216,0.08078481361413865,-0.06328236373003429,-0.10879332119838922,0.0664559610542269,0.004397106739033948,0.11159056205370868,0.0029532454441420198,0.07245858449538674,0.025120625252416304,-0.1319665876634684,0.013320707789919208,,,,,,,-0.001356292075997287,,,,-0.02518051306995435,,,,,,,,,,,
f0010a,-0.011067993781469793,-0.056891280247981124,-0.03162970488008136,0.012761731634810767,-0.008596279892727338,0.012803243286928542,-0.013555150441434348,0.003694254265709394,0.00863595905381725,1.0,0.16234060373285908,0.15885814743148474,0.16372486267330702,0.06824807846200533,-0.05926131893661597,-0.0218398698266712,0.1573599174527773,0.0745012681325612,0.07431854766690943,0.07428765740492577,0.07368012313861078,0.07396764660712846,0.17042381986441693,0.1521011237590989,0.02422200315923772,-0.00859627989272734,0.014090862820406634,-0.009450059138857662,-0.04815410005517877,0.00016115341671550987,-0.01438177115628417,0.003627519479712308,0.0053646462828544055,0.009343290574447403,0.013852377298023473,0.005205460784798309,0.04448841295388258,,,,,,,-0.00792929829702782,,,,0.004095926214585859,,,,,,,,,,,
f0011a,-0.023156209361212123,-0.30444586970952614,-0.14932364363041334,0.20909729568522656,-0.0465411315649444,0.052621770812764715,-0.011264421624228985,-0.051699369054657295,0.029974424417270218,0.16234060373285908,1.0,0.8270127723491416,0.9307104633154472,0.04277652418282486,0.003640801188525023,0.018518322332404514,0.7988690957463183,0.21604320755736817,0.21544876007599362,0.21515629519582907,0.19508675452796356,0.21611296095107319,0.7249581634003166,0.7092991987691742,0.004801436845253879,-0.04654113156494442,0.013950405123135692,-0.035212422015480374,-0.044396833542469434,-0.04329060002946068,-0.3818904630101061,-0.0077386744241413905,-0.004156434276854436,0.05798196894130352,0.2785710491086123,0.011596660709306225,-0.02932791537924346,,,,,,,-0.0011889112533575883,,,,-0.07398161511235819,,,,,,,,,,,
f0012a,-0.03887215297713076,-0.47707705035927755,-0.23517436047411308,0.2138045849478616,0.30029830828746795,0.1903006985664394,-0.07565485490989082,-0.0646536707895096,0.0495620530523206,0.15885814743148474,0.8270127723491416,1.0,0.753228450155312,0.038123675242172736,0.00025901024687306225,0.18552446280147944,0.9689665824782341,0.2193495863144143,0.21717634725196325,0.21626415577897767,0.18858679697081734,0.21952762544651017,0.7942842162301155,0.7769620836310144,0.11666159144130189,0.30029830828746795,0.079489665117763,-0.038694895662103115,-0.07153113235370319,0.08808671819996185,-0.39248530991929975,0.03254234764974524,-0.1273283638139395,0.1403175001379543,0.23871282659107185,0.01719808561828567,0.03453151080155708,,,,,,,-0.01842227047010611,,,,-0.1420182049704159,,,,,,,,,,,
f0013a,-0.021510451035682977,-0.26684684472464,-0.13762657190914726,0.2047058408787197,-0.059782228285956925,0.040719757593447974,-0.009370174475070289,-0.04632938660116587,0.024325064947138278,0.16372486267330702,0.9307104633154472,0.753228450155312,1.0,0.045946474137061134,-0.002553853538574746,0.011666651588737005,0.7295037599382497,0.21448543295447856,0.2140634747819801,0.21384955198839856,0.1982066732477277,0.21452566960411057,0.6714120047178177,0.6554723777833199,0.00328737454958113,-0.05978222828595695,0.01601051104395094,-0.037851444419538485,-0.07448213604986333,-0.03882266888199619,-0.35396904960998055,-0.003149234613221396,-0.0004360030783006786,0.05294063136410481,0.26335169773606365,0.014172268905797248,-0.05693950706691035,,,,,,,-0.0035461320062965323,,,,-0.08635259941392515,,,,,,,,,,,
f0014a,-0.0034117154163649794,-0.030893817635966214,-0.014996162828757459,0.03449723664439096,-0.010026944757116027,-0.001898429047927529,0.003456864046014708,-0.011518534276713325,0.002381300734631515,0.06824807846200533,0.04277652418282486,0.038123675242172736,0.045946474137061134,1.0,0.23075687414619217,0.0044995438301979815,0.03654649795967083,0.2219576104776314,0.2221451672708863,0.2222135871047465,0.2250887887741464,0.22214707923105434,0.03266142811459818,0.03611988761022952,-0.00842956113395657,-0.010026944757116022,0.0025072606840665923,-0.016312428466402264,-0.04699832494583089,-0.004723627694274551,0.03945309848015009,-0.003221479308879236,0.0015152113543155743,-0.003216313675862424,-0.011085551628147531,0.012507532389001279,-0.026738520570066298,,,,,,,-0.004222359621506673,,,,-0.019446457563841123,,,,,,,,,,,
