分类,序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
情绪类因子,18,成交量的10日指数移动平均,10.01,-2.16,0.02,0.02,0.276,0.765
情绪类因子,19,12日成交量的移动平均值,9.68,-2.62,0.02,0.02,0.778,0.83
情绪类因子,20,成交量的26日指数移动平均,7.74,-2.75,0.01,0.02,0.339,0.922
情绪类因子,21,成交量的5日指数移动平均,10.87,-2.71,0.04,0.04,0.547,0.48
情绪类因子,22,成交量指数平滑异同移动平均线,-5.01,3.36,0.22,0.26,0.372,0.946
情绪类因子,23,10日平均换手率,-4.05,31.7,0.01,0.03,0.892,0.551
情绪类因子,24,120日平均换手率,3.87,50.66,0.0,0.01,0.767,0.969
情绪类因子,25,20日平均换手率,-4.68,30.22,0.01,0.02,0.302,0.972
情绪类因子,26,240日平均换手率,5.18,42.4,0.0,0.0,0.785,0.393
情绪类因子,27,5日平均换手率,-3.53,27.04,0.02,0.06,0.996,0.12
情绪类因子,28,60日平均换手率,-0.88,40.02,0.01,0.01,0.347,0.515
情绪类因子,29,成交量震荡,-7.25,6.34,0.15,0.16,0.071,0.101
情绪类因子,30,12日量变动速率指标,-5.26,7.3,0.57,0.53,0.951,0.935
情绪类因子,31,6日量变动速率指标,11.9,2.12,0.61,0.56,0.771,0.097
情绪类因子,32,10日成交量标准差,12.87,3.26,0.07,0.07,0.22,0.63
情绪类因子,33,20日成交量标准差,10.35,1.67,0.03,0.03,0.62,0.4
情绪类因子,34,威廉变异离散量,4.28,-6.36,0.29,0.26,0.201,0.776
成长类因子,1,净资产增长率,-1.36,12.3,0.01,0.01,0.233,0.986
成长类因子,2,利润总额增长率,122.19,0.37,0.01,0.01,0.646,0.244
成长类因子,3,归属母公司股东的净利润增长率,74.77,1.86,0.01,0.01,0.713,0.624
成长类因子,4,当季净资产收益率ROE,-67.38,-2.5,0.02,0.02,0.611,0.075
成长类因子,5,当年净资产收益率ROE,96.92,4.03,0.01,0.01,0.961,0.481
成长类因子,6,扣非当季净资产收益ROE,-109.39,-3.08,0.02,0.02,0.442,0.357
成长类因子,7,筹资活动产生的现金流量净额增长率,-3.25,-4.56,0.02,0.02,0.314,0.99
技术指标因子,1,10日指数移动均线,3.09,17.17,0.32,0.3,0.572,0.665
技术指标因子,2,10日移动均线,1.45,31.86,0.29,0.28,0.122,0.907
技术指标因子,3,120日指数移动均线,-12.27,24.65,0.09,0.06,0.694,0.271
技术指标因子,4,120日移动均线,-63.44,20.9,0.08,0.06,0.361,0.992
技术指标因子,5,12日指数移动均线,2.63,18.31,0.29,0.28,0.845,0.31
技术指标因子,6,12日移动均线,1.87,21.35,0.27,0.26,0.084,0.841
技术指标因子,7,20日指数移动均线,0.45,10.99,0.23,0.21,0.784,0.07
技术指标因子,8,20日移动均线,-0.48,16.14,0.21,0.19,0.572,0.427
技术指标因子,9,26日指数移动均线,1.22,11.92,0.2,0.18,0.088,0.514
技术指标因子,10,26日移动均线,-15.43,10.94,0.18,0.17,0.173,0.072
技术指标因子,11,5日指数移动均线,0.9,27.93,0.43,0.41,0.604,0.116
技术指标因子,12,5日移动均线,-0.61,28.34,0.43,0.42,0.759,0.311
技术指标因子,13,上轨线（布林线）指标,-17.51,17.03,0.25,0.14,0.797,0.393
技术指标因子,14,下轨线（布林线）指标,8.05,-8.17,0.17,0.3,0.145,0.587
