分类,序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
财务类因子,192,油气资产,-1.46,0.03,0.5,0.05,0.249,0.023
财务类因子,193,其他资产,87.36,0.86,1.0,0.93,0.107,0.42
财务类因子,194,其他流动资产,55.12,0.87,0.19,0.7,0.635,0.982
财务类因子,195,其他流动负债,75.3,0.41,0.88,0.55,0.85,0.912
财务类因子,196,其他债权投资,14.56,0.71,0.04,0.78,0.632,0.758
财务类因子,197,其他权益工具：永续债,8.37,0.58,0.52,0.87,0.881,0.568
财务类因子,198,其他权益工具：优先股,82.91,0.52,0.03,0.81,0.469,0.457
财务类因子,199,其他权益工具,54.04,0.25,0.28,0.23,0.412,0.562
财务类因子,200,其他权益工具投资,76.13,0.62,0.15,0.43,0.054,0.883
财务类因子,201,其他负债,21.65,0.03,0.32,0.54,0.187,0.909
财务类因子,202,其他非流动资产,75.27,0.94,0.32,0.49,0.93,0.071
财务类因子,203,其他非流动金融资产,28.37,0.64,0.21,0.99,0.409,0.412
财务类因子,204,其他非流动负债,3.57,0.2,0.11,0.59,0.964,0.682
财务类因子,205,其他应付款(合计),113.42,0.49,0.02,0.63,0.911,0.33
财务类因子,206,其他应付款(合计)：应付股利,34.79,0.74,0.69,0.95,0.903,0.22
财务类因子,207,其他应付款(合计)：应付利息,55.23,0.5,0.58,0.14,0.474,0.552
财务类因子,208,其他应付款(合计)：其他应付款,41.83,0.23,0.2,0.64,0.664,0.998
财务类因子,209,其他应收款(合计),76.43,0.51,0.33,0.48,0.019,0.19
财务类因子,210,其他应收款(合计)：应收股利,11.65,0.93,0.15,0.36,0.675,0.709
财务类因子,211,其他应收款(合计)：应收利息,29.38,0.9,0.04,0.92,0.584,0.177
财务类因子,212,其他应收款(合计)：其他应收款,67.91,0.44,0.92,0.52,0.419,0.98
财务类因子,213,实收资本(或股本),50.72,0.98,0.05,0.24,0.881,0.595
财务类因子,214,应付票据及应付账款：应付账款,157.21,0.03,0.78,0.99,0.215,0.625
财务类因子,215,应付票据及应付账款：应付票据,66.86,0.43,0.53,0.75,0.817,0.029
财务类因子,216,贵金属,-63.46,0.93,0.17,0.88,0.865,0.595
财务类因子,217,预付款项,102.19,0.09,0.39,0.75,0.57,0.599
财务类因子,218,生产性生物资产,51.87,0.17,0.15,0.91,0.03,0.665
财务类因子,219,研发支出,13.01,0.76,0.92,0.99,0.626,0.609
财务类因子,220,应收保费,11.64,0.37,0.95,0.47,0.682,0.993
财务类因子,221,应收票据及应收账款：应收账款,78.34,0.67,0.33,0.95,0.708,0.213
财务类因子,222,应收票据及应收账款：应收款项融资,45.46,0.94,0.44,0.63,0.628,0.277
财务类因子,223,应收票据及应收账款：应收票据,44.44,0.63,0.3,0.66,0.403,0.28
财务类因子,224,应收分保合同准备金,28.9,0.61,0.35,0.28,0.357,0.203
财务类因子,225,应付分保账款,146.38,0.22,0.57,0.64,0.666,0.209
财务类因子,226,应收分保账款,11.64,0.51,0.6,0.74,0.975,0.577
财务类因子,227,使用权资产,67.55,0.03,0.17,0.99,0.922,0.598
财务类因子,228,卖出回购金融资产款,11.17,0.31,0.65,0.13,0.84,0.875
财务类因子,229,结算备付金,16.62,0.15,0.83,0.71,0.017,0.474
财务类因子,230,短期借款,56.15,0.6,0.08,0.57,0.498,0.632
财务类因子,231,专项储备,11.4,0.44,0.74,0.18,0.23,0.488
财务类因子,232,盈余公积,68.9,0.91,0.09,0.07,0.182,0.933
财务类因子,233,应交税费,48.84,0.9,0.19,0.83,0.137,0.04
财务类因子,234,定期存款,-9.72,0.04,0.69,0.63,0.765,0.456
财务类因子,235,资产总计,63.19,0.75,0.33,0.99,0.276,0.598
财务类因子,236,流动资产合计,58.3,0.56,0.55,0.9,0.759,0.379
财务类因子,237,流动负债合计,71.03,0.83,0.68,0.92,0.694,0.35
财务类因子,238,负债和所有者权益(或股东权益)总计,63.19,0.58,0.53,0.87,0.872,0.946
财务类因子,239,负债合计,55.6,0.54,0.43,0.31,0.034,0.412
财务类因子,240,非流动资产合计,58.27,0.36,0.69,0.65,0.549,0.598
财务类因子,241,非流动负债合计,70.71,0.73,0.64,0.34,0.473,0.394
财务类因子,242,所有者权益(或股东权益)合计,55.42,0.56,0.8,0.9,0.919,0.887
财务类因子,243,归属于母公司所有者权益合计,53.9,0.68,0.77,0.17,0.313,0.418
财务类因子,244,交易性金融资产,22.52,0.4,0.61,0.27,0.207,0.663
财务类因子,245,交易性金融负债,26.85,0.77,0.64,0.7,0.513,0.685
财务类因子,246,减:库存股,56.42,0.56,0.87,0.83,0.622,0.97
财务类因子,247,代理承销证券款,-23.65,0.53,0.89,0.1,0.78,0.305
财务类因子,248,未分配利润,62.62,0.83,0.2,0.46,0.887,0.864
质量类因子,1,产权比率,10.97,-20.41,0.0,0.0,0.278,0.019
质量类因子,2,债务总资产比,10.97,-20.41,0.0,0.0,0.25,0.397
质量类因子,3,净利润现金含量,5.15,-35.25,0.01,0.01,0.774,0.737
质量类因子,4,存货周转天数,-12.1,23.14,0.0,0.0,0.83,0.811
质量类因子,5,存货周转率,24.66,-9.76,0.0,0.0,0.044,0.212
质量类因子,6,应收账款周转天数,-4.6,23.98,0.01,0.0,0.794,0.749
质量类因子,7,应收账款周转率,24.06,-17.85,0.01,0.0,0.831,0.523
质量类因子,8,应收账款指数,16.27,2.82,0.01,0.0,0.848,0.925
质量类因子,9,总资产现金回收率,-1.76,-1.28,0.01,0.0,0.733,0.839
质量类因子,10,扣除非经常损益后的净利润与利润总额之比,3.43,11.42,0.01,0.01,0.47,0.232
质量类因子,11,有形净值债务率,13.9,-3.19,0.0,0.0,0.495,0.193
质量类因子,12,毛利率增长,12.18,-6.18,0.0,0.0,0.087,0.71
质量类因子,13,流动比率,-10.77,43.96,0.0,0.0,0.264,0.362
质量类因子,14,流动资产周转率TTM,28.44,-17.69,0.0,0.0,0.984,0.18
质量类因子,15,现金比率,11.25,-5.92,0.0,0.0,0.199,0.02
质量类因子,16,现金流动负债比,2.17,3.55,0.01,0.0,0.622,0.909
质量类因子,17,现金流资产比和资产回报率之差,11.43,-30.98,0.01,0.01,0.571,0.044
质量类因子,18,管理费用与营业总收入之比,-0.22,15.92,0.0,0.0,0.18,0.305
质量类因子,19,经营活动产生现金流量净额与净债务比率,35.23,-6.64,0.01,0.01,0.951,0.825
质量类因子,20,经营活动产生的现金流量净额与企业价值之比TTM,7.76,-15.82,0.01,0.02,0.926,0.74
质量类因子,21,经营活动产生的现金流量净额与经营活动净收益之比,5.17,-34.43,0.01,0.01,0.629,0.242
质量类因子,22,经营活动产生的现金流量净额与营业收入之比,-0.88,-29.44,0.01,0.0,0.044,0.014
质量类因子,23,经营活动产生的现金流量净额与负债合计比率,9.72,8.34,0.01,0.01,0.083,0.327
质量类因子,24,经营活动产生的现金流量净额增长率,-0.35,0.07,0.01,0.01,0.217,0.127
质量类因子,25,股东权益与固定资产比率,-6.44,-14.01,0.0,0.0,0.464,0.918
质量类因子,26,股东权益周转率,-90.93,-2.75,0.0,0.0,0.091,0.075
质量类因子,27,股东权益比率,-11.81,14.99,0.0,0.0,0.238,0.517
质量类因子,28,财务费用与营业总收入之比,16.49,0.63,0.0,0.0,0.647,0.134
质量类因子,29,销售净利率,2.91,-40.76,0.0,0.0,0.1,0.439
质量类因子,30,长期借款与资产总计之比,7.39,-6.81,0.01,0.0,0.038,0.296
质量类因子,31,长期负债与营运资金比率,-11.96,-2.51,0.0,0.0,0.17,0.658
质量类因子,32,长期负债与资产总计之比,20.15,-4.62,0.0,0.0,0.826,0.436
质量类因子,33,非流动资产比率,15.1,-366.08,0.0,0.0,0.835,0.153
风险/风格类因子,1,120日年化收益方差,-54.86,34.95,0.02,0.02,0.337,0.083
风险/风格类因子,2,20日年化收益方差,-35.82,34.97,0.09,0.08,0.358,0.743
风险/风格类因子,3,60日年化收益方差,-43.24,34.77,0.03,0.03,0.286,0.884
风险/风格类因子,4,个股收益的120日偏度,-19.59,11.81,0.03,0.04,0.113,0.478
风险/风格类因子,5,个股收益的120日峰度,-2.39,-7.6,0.05,0.03,0.486,0.36
风险/风格类因子,6,个股收益的20日偏度,-28.84,6.46,0.15,0.15,0.299,0.32
风险/风格类因子,7,个股收益的20日峰度,1.11,3.98,0.19,0.15,0.06,0.592
风险/风格类因子,8,个股收益的60日偏度,-11.29,10.57,0.06,0.06,0.438,0.53
风险/风格类因子,9,个股收益的60日峰度,-1.18,3.56,0.08,0.06,0.496,0.394
