序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
332,商誉,14.48%,0.64%,0.23%,0.68%,0.422,0.857
333,持有待售资产,30.27%,0.46%,0.70%,0.72%,0.787,0.473
334,持有待售负债,4.09%,0.78%,0.95%,0.56%,0.684,0.892
335,持有至到期投资,0.46%,0.02%,0.41%,0.72%,0.539,0.525
336,无形资产,51.39%,0.01%,0.79%,0.70%,0.092,0.623
337,存放同业款项,-90.96%,0.53%,0.34%,0.06%,0.580,0.693
338,同业及其他金融机构存放款项,-24.99%,0.28%,0.36%,0.90%,0.362,0.334
339,存货,55.00%,0.19%,0.14%,0.29%,0.024,0.293
340,投资性房地产,32.21%,0.14%,0.81%,0.61%,0.289,0.646
341,租赁负债,33.22%,0.44%,0.59%,0.28%,0.808,0.911
342,拆出资金,-1.51%,0.96%,0.05%,0.22%,0.914,0.421
343,负债的调整项目,-187.77%,0.27%,0.02%,0.06%,0.519,0.681
344,长期借款,42.45%,0.77%,0.86%,0.13%,0.643,0.282
345,长期待摊费用,53.82%,0.26%,0.26%,0.46%,0.748,0.442
346,长期应付职工薪酬,16.45%,0.12%,0.88%,0.88%,0.223,0.634
347,长期股权投资,110.32%,0.47%,0.13%,0.62%,0.591,0.566
348,长期应付款(合计),27.35%,0.54%,0.51%,0.12%,0.323,0.826
349,长期应付款(合计)：长期应付款,8.13%,0.29%,0.59%,0.38%,0.445,0.089
350,长期应付款(合计)：专项应付款,126.48%,0.67%,0.60%,0.83%,0.112,0.204
351,长期应收款,13.33%,0.32%,0.83%,0.13%,0.407,0.326
352,一年内到期的非流动资产,11.21%,0.18%,0.06%,0.18%,0.635,0.681
353,非流动负债的调整项目,31.33%,0.26%,0.29%,0.83%,0.011,0.372
354,一年内到期的非流动负债,58.47%,0.48%,0.96%,0.84%,0.780,0.961
355,非流动资产的调整项目,0.36%,0.99%,0.49%,0.41%,0.342,0.906
356,油气资产,-1.46%,0.03%,0.50%,0.05%,0.249,0.023
357,其他资产,87.36%,0.86%,1.00%,0.93%,0.107,0.420
358,其他流动资产,55.12%,0.87%,0.19%,0.70%,0.635,0.982
359,其他流动负债,75.30%,0.41%,0.88%,0.55%,0.850,0.912
360,其他债权投资,14.56%,0.71%,0.04%,0.78%,0.632,0.758
361,其他权益工具：永续债,8.37%,0.58%,0.52%,0.87%,0.881,0.568
362,其他权益工具：优先股,82.91%,0.52%,0.03%,0.81%,0.469,0.457
363,其他权益工具,54.04%,0.25%,0.28%,0.23%,0.412,0.562
364,其他权益工具投资,76.13%,0.62%,0.15%,0.43%,0.054,0.883
365,其他负债,21.65%,0.03%,0.32%,0.54%,0.187,0.909
366,其他非流动资产,75.27%,0.94%,0.32%,0.49%,0.930,0.071
367,其他非流动金融资产,28.37%,0.64%,0.21%,0.99%,0.409,0.412
368,其他非流动负债,3.57%,0.20%,0.11%,0.59%,0.964,0.682
369,其他应付款(合计),113.42%,0.49%,0.02%,0.63%,0.911,0.330
370,其他应付款(合计)：应付股利,34.79%,0.74%,0.69%,0.95%,0.903,0.220
371,其他应付款(合计)：应付利息,55.23%,0.50%,0.58%,0.14%,0.474,0.552
372,其他应付款(合计)：其他应付款,41.83%,0.23%,0.20%,0.64%,0.664,0.998
373,其他应收款(合计),76.43%,0.51%,0.33%,0.48%,0.019,0.190
374,其他应收款(合计)：应收股利,11.65%,0.93%,0.15%,0.36%,0.675,0.709
375,其他应收款(合计)：应收利息,29.38%,0.90%,0.04%,0.92%,0.584,0.177
376,其他应收款(合计)：其他应收款,67.91%,0.44%,0.92%,0.52%,0.419,0.980
377,实收资本(或股本),50.72%,0.98%,0.05%,0.24%,0.881,0.595
378,应付票据及应付账款：应付账款,157.21%,0.03%,0.78%,0.99%,0.215,0.625
379,应付票据及应付账款：应付票据,66.86%,0.43%,0.53%,0.75%,0.817,0.029
380,贵金属,-63.46%,0.93%,0.17%,0.88%,0.865,0.595
381,预付款项,102.19%,0.09%,0.39%,0.75%,0.570,0.599
382,生产性生物资产,51.87%,0.17%,0.15%,0.91%,0.030,0.665
383,研发支出,13.01%,0.76%,0.92%,0.99%,0.626,0.609
384,应收保费,11.64%,0.37%,0.95%,0.47%,0.682,0.993
385,应收票据及应收账款：应收账款,78.34%,0.67%,0.33%,0.95%,0.708,0.213
386,应收票据及应收账款：应收款项融资,45.46%,0.94%,0.44%,0.63%,0.628,0.277
387,应收票据及应收账款：应收票据,44.44%,0.63%,0.30%,0.66%,0.403,0.280
388,应收分保合同准备金,28.90%,0.61%,0.35%,0.28%,0.357,0.203
389,应付分保账款,146.38%,0.22%,0.57%,0.64%,0.666,0.209
390,应收分保账款,11.64%,0.51%,0.60%,0.74%,0.975,0.577
391,使用权资产,67.55%,0.03%,0.17%,0.99%,0.922,0.598
392,卖出回购金融资产款,11.17%,0.31%,0.65%,0.13%,0.840,0.875
393,结算备付金,16.62%,0.15%,0.83%,0.71%,0.017,0.474
394,短期借款,56.15%,0.60%,0.08%,0.57%,0.498,0.632
395,专项储备,11.40%,0.44%,0.74%,0.18%,0.230,0.488
396,盈余公积,68.90%,0.91%,0.09%,0.07%,0.182,0.933
397,应交税费,48.84%,0.90%,0.19%,0.83%,0.137,0.040
398,定期存款,-9.72%,0.04%,0.69%,0.63%,0.765,0.456
399,资产总计,63.19%,0.75%,0.33%,0.99%,0.276,0.598
400,流动资产合计,58.30%,0.56%,0.55%,0.90%,0.759,0.379
401,流动负债合计,71.03%,0.83%,0.68%,0.92%,0.694,0.350
402,负债和所有者权益(或股东权益)总计,63.19%,0.58%,0.53%,0.87%,0.872,0.946
403,负债合计,55.60%,0.54%,0.43%,0.31%,0.034,0.412
404,非流动资产合计,58.27%,0.36%,0.69%,0.65%,0.549,0.598
405,非流动负债合计,70.71%,0.73%,0.64%,0.34%,0.473,0.394
406,所有者权益(或股东权益)合计,55.42%,0.56%,0.80%,0.90%,0.919,0.887
407,归属于母公司所有者权益合计,53.90%,0.68%,0.77%,0.17%,0.313,0.418
408,交易性金融资产,22.52%,0.40%,0.61%,0.27%,0.207,0.663
409,交易性金融负债,26.85%,0.77%,0.64%,0.70%,0.513,0.685
410,减:库存股,56.42%,0.56%,0.87%,0.83%,0.622,0.970
411,代理承销证券款,-23.65%,0.53%,0.89%,0.10%,0.780,0.305
412,未分配利润,62.62%,0.83%,0.20%,0.46%,0.887,0.864
