序号,因子名称,最小分位超额年化,最大分位超额年化,最小分位换手,最大分位换手,IC,IR
78,26日移动均线,-15.43%,10.94%,0.18%,0.17%,0.173,0.072
79,5日指数移动均线,0.90%,27.93%,0.43%,0.41%,0.604,0.116
80,5日移动均线,-0.61%,28.34%,0.43%,0.42%,0.759,0.311
81,上轨线（布林线）指标,-17.51%,17.03%,0.25%,0.14%,0.797,0.393
82,下轨线（布林线）指标,8.05%,-8.17%,0.17%,0.30%,0.145,0.587
83,平滑异同移动平均线,21.24%,2.83%,0.13%,0.14%,0.143,0.771
84,资金流量指标,2.81%,-1.46%,0.19%,0.18%,0.132,0.139
85,市净率,8.97%,-9.86%,0.02%,0.01%,0.141,0.311
86,总市值,27.88%,-16.70%,0.02%,0.01%,0.556,0.435
87,每股净资产,-5.27%,15.78%,0.00%,0.00%,0.471,0.814
88,每股收益TTM,-2.99%,7.87%,0.00%,0.00%,0.092,0.654
89,每股未分配利润,-9.83%,6.84%,0.00%,0.00%,0.615,0.295
90,每股现金及现金等价物余额,-0.86%,1.29%,0.01%,0.00%,0.930,0.513
91,每股留存收益,-11.59%,6.37%,0.00%,0.00%,0.074,0.789
92,每股经营活动产生的现金流量净额,-2.50%,-1.13%,0.01%,0.00%,0.412,0.704
93,每股营业利润TTM,-2.17%,6.95%,0.00%,0.00%,0.218,0.971
94,每股营业总收入,-37.04%,-0.55%,0.01%,0.01%,0.660,0.079
95,每股营业收入TTM,-49.71%,-0.43%,0.00%,0.00%,0.306,0.462
96,每股营业收入,-34.76%,-0.53%,0.01%,0.01%,0.353,0.446
97,每股资本公积金,-8.61%,24.60%,0.00%,0.00%,0.403,0.202
98,人气指标,-4.36%,11.96%,0.15%,0.14%,0.507,0.371
99,ARBR,-3.24%,17.58%,0.12%,0.13%,0.182,0.657
100,14日均幅指标,-22.10%,17.95%,0.02%,0.02%,0.438,0.161
101,6日均幅指标,-24.95%,14.86%,0.04%,0.04%,0.337,0.775
102,意愿指标,-5.28%,5.72%,0.15%,0.15%,0.492,0.701
103,10日平均换手率与120日平均换手率之比,-10.21%,12.59%,0.09%,0.08%,0.566,0.897
104,20日平均换手率与120日平均换手率之比,-11.42%,17.91%,0.06%,0.05%,0.028,0.057
105,5日平均换手率与120日平均换手率,-3.36%,9.91%,0.15%,0.12%,0.689,0.824
106,因子WVAD的6日均值,-6.42%,14.28%,0.14%,0.13%,0.170,0.359
107,20日资金流量,-27.79%,20.93%,0.02%,0.02%,0.837,0.109
108,心理线指标,-7.66%,-2.08%,0.24%,0.22%,0.623,0.979
109,20日成交金额的移动平均值,-26.44%,20.69%,0.02%,0.02%,0.769,0.245
110,tvma6,-20.06%,13.88%,0.06%,0.05%,0.186,0.632
111,20日成交金额的标准差,-22.45%,22.70%,0.05%,0.04%,0.715,0.832
112,6日成交金额的标准差,-8.39%,13.42%,0.17%,0.13%,0.375,0.516
113,计算VMACD因子的中间变量dea,-8.26%,4.11%,0.07%,0.08%,0.847,0.891
114,计算VMACD因子的中间变量diff,-11.44%,7.15%,0.13%,0.16%,0.708,0.517
115,成交量的10日指数移动平均,10.01%,-2.16%,0.02%,0.02%,0.276,0.765
116,12日成交量的移动平均值,9.68%,-2.62%,0.02%,0.02%,0.778,0.830
117,成交量的26日指数移动平均,7.74%,-2.75%,0.01%,0.02%,0.339,0.922
118,成交量的5日指数移动平均,10.87%,-2.71%,0.04%,0.04%,0.547,0.480
119,成交量指数平滑异同移动平均线,-5.01%,3.36%,0.22%,0.26%,0.372,0.946
120,10日平均换手率,-4.05%,31.70%,0.01%,0.03%,0.892,0.551
121,120日平均换手率,3.87%,50.66%,0.00%,0.01%,0.767,0.969
122,20日平均换手率,-4.68%,30.22%,0.01%,0.02%,0.302,0.972
123,240日平均换手率,5.18%,42.40%,0.00%,0.00%,0.785,0.393
124,5日平均换手率,-3.53%,27.04%,0.02%,0.06%,0.996,0.120
125,60日平均换手率,-0.88%,40.02%,0.01%,0.01%,0.347,0.515
126,成交量震荡,-7.25%,6.34%,0.15%,0.16%,0.071,0.101
127,12日量变动速率指标,-5.26%,7.30%,0.57%,0.53%,0.951,0.935
128,6日量变动速率指标,11.90%,2.12%,0.61%,0.56%,0.771,0.097
129,10日成交量标准差,12.87%,3.26%,0.07%,0.07%,0.220,0.630
130,20日成交量标准差,10.35%,1.67%,0.03%,0.03%,0.620,0.400
131,威廉变异离散量,4.28%,-6.36%,0.29%,0.26%,0.201,0.776
132,产权比率,10.97%,-20.41%,0.00%,0.00%,0.278,0.019
133,债务总资产比,10.97%,-20.41%,0.00%,0.00%,0.250,0.397
134,净利润现金含量,5.15%,-35.25%,0.01%,0.01%,0.774,0.737
135,存货周转天数,-12.10%,23.14%,0.00%,0.00%,0.830,0.811
136,存货周转率,24.66%,-9.76%,0.00%,0.00%,0.044,0.212
137,应收账款周转天数,-4.60%,23.98%,0.01%,0.00%,0.794,0.749
138,应收账款周转率,24.06%,-17.85%,0.01%,0.00%,0.831,0.523
139,应收账款指数,16.27%,2.82%,0.01%,0.00%,0.848,0.925
140,总资产现金回收率,-1.76%,-1.28%,0.01%,0.00%,0.733,0.839
141,扣除非经常损益后的净利润与利润总额之比,3.43%,11.42%,0.01%,0.01%,0.470,0.232
142,有形净值债务率,13.90%,-3.19%,0.00%,0.00%,0.495,0.193
143,毛利率增长,12.18%,-6.18%,0.00%,0.00%,0.087,0.710
144,流动比率,-10.77%,43.96%,0.00%,0.00%,0.264,0.362
145,流动资产周转率TTM,28.44%,-17.69%,0.00%,0.00%,0.984,0.180
146,现金比率,11.25%,-5.92%,0.00%,0.00%,0.199,0.020
147,现金流动负债比,2.17%,3.55%,0.01%,0.00%,0.622,0.909
148,现金流资产比和资产回报率之差,11.43%,-30.98%,0.01%,0.01%,0.571,0.044
149,管理费用与营业总收入之比,-0.22%,15.92%,0.00%,0.00%,0.180,0.305
150,经营活动产生现金流量净额与净债务比率,35.23%,-6.64%,0.01%,0.01%,0.951,0.825
151,经营活动产生的现金流量净额与企业价值之比TTM,7.76%,-15.82%,0.01%,0.02%,0.926,0.740
152,经营活动产生的现金流量净额与经营活动净收益之比,5.17%,-34.43%,0.01%,0.01%,0.629,0.242
153,经营活动产生的现金流量净额与营业收入之比,-0.88%,-29.44%,0.01%,0.00%,0.044,0.014
