factor,bollinger_upper_20d,momentum_20,reversal_5,size_log_mcap,ivol,overnight_intraday
bollinger_upper_20d,1.0,0.5735561048218404,-0.6072255428375888,0.02904080888175906,-0.1797400145627084,-0.28698370095666326
momentum_20,0.5735561048218404,1.0,-0.4614274117793016,0.023275930099460367,-0.3191412014950977,-0.016677291756685666
reversal_5,-0.6072255428375888,-0.4614274117793016,1.0,-0.01946343503249874,0.11868927706371812,0.0022184086577455462
size_log_mcap,0.02904080888175906,0.023275930099460367,-0.01946343503249874,1.0,-0.028057927870872322,-0.009009107939134956
ivol,-0.1797400145627084,-0.3191412014950977,0.11868927706371812,-0.028057927870872322,1.0,0.058388058175146154
overnight_intraday,-0.28698370095666326,-0.016677291756685666,0.0022184086577455462,-0.009009107939134956,0.058388058175146154,1.0
